identifier,γίγνομαι_ὅς_πολύς_πρότερος_πόλις_ἄλλος_οἰκέω,ἄλλος_δ_ὡς_τις_ἀθηναίων_πείθω_πέμπω,τεῖχος_τις_πρός_πόλις_πολύς_ἄλλος_ἔχω,σύμμαχος_σπονδή_πόλεμος_πρός_ποιέω_γίγνομαι_σφεῖς,ἀθηναῖοι_ἀναχωρέω_ἐπ_οἶκος_δ_τις_ναῦς,ναῦς_πλέω_ὡς_ὅς_ἀθηναῖοι_πρός_ἅμα,ὁπλίτης_ἀθηναίων_ναῦς_δ_σύμμαχος_ἄλλος_ἔχω,τις_ὅς_ἄλλος_πρός_ἔχω_νῦν_ὅστις,ὡς_πολύς_ἄλλος_πρός_ἀθηναῖοι_ἦδος_χωρέω,πολύς_ἄλλος_ναῦς_ἔχω_μέγας_πρός_πᾶς,ὡς_τις_λέγω_ἄλλος_γίγνομαι_ὅστις_σφεῖς,τις_ὅς_γίγνομαι_ἄλλος_πολύς_ὡς_μᾶλλον
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.57.5.354,0.00140449438202247,0.422752808988764,0.00140449438202247,0.422752808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.0716292134831461,0.00140449438202247,0.0716292134831461
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.57.6.355,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.0316377171215881,0.000620347394540943,0.279776674937965,0.279776674937965,0.000620347394540943,0.248759305210918,0.000620347394540943,0.155707196029777,0.000620347394540943
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.58.1.356,0.000452079566003617,0.429927667269439,0.000452079566003617,0.339511754068716,0.158679927667269,0.000452079566003617,0.000452079566003617,0.0682640144665461,0.000452079566003617,0.000452079566003617,0.000452079566003617,0.000452079566003617
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.58.2.357,0.00151057401812689,0.454682779456193,0.379154078549849,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.152567975830816,0.00151057401812689,0.00151057401812689,0.00151057401812689
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.58.2.358,0.197265625,0.001953125,0.001953125,0.587890625,0.001953125,0.001953125,0.001953125,0.001953125,0.197265625,0.001953125,0.001953125,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.58.2.359,0.00381679389312977,0.00381679389312977,0.767175572519084,0.194656488549618,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.59.1.360,0.00216450216450216,0.435064935064935,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.435064935064935,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.11038961038961,0.00216450216450216
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.59.2.361,0.431153184165232,0.388123924268503,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.172977624784854,0.000860585197934596,0.000860585197934596,0.000860585197934596
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.60.1.362,0.000860585197934596,0.259036144578313,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.646299483648881,0.000860585197934596,0.000860585197934596,0.0438898450946644,0.0438898450946644,0.000860585197934596
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.60.2.363,0.00216450216450216,0.867965367965368,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.11038961038961,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.60.2.364,0.712264150943396,0.00471698113207547,0.240566037735849,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.60.3.365,0.00276243093922652,0.140883977900553,0.00276243093922652,0.00276243093922652,0.279005524861878,0.55524861878453,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.61.1.366,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.630395683453237,0.360611510791367,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.61.2.367,0.00177935943060498,0.713523131672598,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.268683274021352,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.61.3.368,0.00123152709359606,0.49384236453202,0.00123152709359606,0.00123152709359606,0.49384236453202,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.61.4.369,0.297430830039526,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.0503952569169961,0.643280632411067,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119
